index,rank,bank,country,total_assets_us_b,balance_sheet
0,1,Industrial & Commercial Bank of China,China,4005.58,2017-12-31
1,2,China Construction Bank Corp,China,3397.13,2017-12-31
2,3,Agricultural Bank of China,China,3232.68,2017-12-31
3,4,Bank of China,China,2989.16,2017-12-31
4,5,Mitsubishi UFJ Financial Group,Japan,2773.82,2017-12-31
5,6,JPMorgan Chase & Co,USA,2533.6,2017-12-31
6,7,HSBC Holdings,UK,2521.77,2017-12-31
7,8,BNP Paribas,France,2348.11,2017-12-31
8,9,Bank of America,USA,2281.23,2017-12-31
9,10,China Development Bank,China,2201.86,2016-12-31
10,11,Credit Agricole Group,France,2112.04,2017-12-31
11,12,Wells Fargo,USA,1951.76,2017-12-31
12,13,Japan Post Bank,Japan,1873.5,2017-12-31
13,14,Mizuho Financial Group,Japan,1850.1,2017-12-31
14,15,Sumitomo Mitsui Financial Group,Japan,1847.47,2017-12-31
15,16,Citigroup Inc,USA,1843.06,2017-12-31
16,17,Deutsche Bank,Germany,1766.85,2017-12-31
17,18,Banco Santander,Spain,1730.08,2017-12-31
18,19,Barclays PLC,UK,1528.89,2017-12-31
19,20,Societe Generale,France,1527.43,2017-12-31
20,21,Groupe BPCE,France,1509.13,2017-12-31
21,22,Bank of Communications,China,1387.79,2017-12-31
22,23,Postal Savings Bank of China,China,1383.85,2017-12-31
23,24,Lloyds Banking Group,UK,1095.64,2017-12-31
24,25,Royal Bank of Canada,Canada,1028.72,2017-12-31
25,26,ING Groep NV,Netherlands,1013.65,2017-12-31
26,27,Toronto-Dominion Bank,Canada,1006.98,2017-12-31
27,28,Norinchukin Bank,Japan,1006.7,2017-12-31
28,29,UniCredit S.p.A.,Italy,1002.36,2017-12-31
29,30,Royal Bank of Scotland Group,UK,995.729,2017-12-31
30,31,Industrial Bank Co. Ltd,China,985.646,2017-12-31
31,32,China Merchants Bank,China,966.117,2017-12-31
32,33,Intesa Sanpaolo,Italy,954.531,2017-12-31
33,34,Credit Mutuel,France,950.531,2016-12-31
34,35,UBS Group AG,Switzerland,937.802,2017-12-31
35,36,Shanghai Pudong Development Bank,China,942.777,2017-12-31
36,37,Goldman Sachs Group,USA,916.787,2017-12-31
37,38,Agricultural Development Bank of China,China,873.419,2017-06-30
38,39,China Minsheng Banking Corp,China,859.407,2017-09-30
39,40,Morgan Stanley,USA,851.733,2017-12-31
40,41,China CITIC Bank Corp,China,832.996,2017-09-30
41,42,BBVA,Spain,826.597,2017-12-31
42,43,Credit Suisse Group,Switzerland,815.587,2017-12-31
43,44,Bank of Nova Scotia,Canada,754.509,2017-12-31
44,45,Commonwealth Bank of Australia,Australia,750.775,2017-12-31
45,46,Rabobank Group,Netherlands,722.301,2017-12-31
46,47,Australia & New Zealand Banking Group,Australia,700.352,2017-09-30
47,48,Nordea,Sweden,695.795,2017-12-31
48,49,European Investment Bank,Luxembourg,686.653,2016-12-31
49,50,Westpac Banking Corp,Australia,664.878,2017-09-30
50,51,Standard Chartered Plc,UK,663.501,2017-12-31
51,52,National Australia Bank,Australia,615.516,2017-09-30
52,53,China Everbright Bank,China,627.737,2017-12-31
53,54,DZ Bank AG,Germany,605.64,2017-12-31
54,55,Bank of Montreal,Canada,578.53,2017-12-31
55,56,Sumitomo Mitsui Trust Holdings,Japan,569.949,2017-12-31
56,57,Danske Bank,Denmark,569.335,2017-12-31
57,58,KfW Group,Germany,565.392,2017-12-31
58,59,Commerzbank,Germany,541.434,2017-12-31
59,60,State Bank of India,India,534.903,2017-12-31
60,61,Cassa Depositi e Prestiti (CDP),Italy,496.74,2017-06-30
61,62,The Export-Import Bank of China (Eximbank),China,491.888,2016-12-31
62,63,Canadian Imperial Bank of Commerce,Canada,483.791,2017-12-31
63,64,Ping An Bank,China,481.75,2017-09-30
64,65,ABN AMRO Group NV,Netherlands,470.965,2017-12-31
65,66,Sberbank of Russia,Russia,470.181,2017-12-31
66,67,U.S. Bancorp,USA,462.04,2017-12-31
67,68,CaixaBank,Spain,459.005,2017-12-31
68,69,Itau Unibanco Holding SA,Brazil,437.41,2017-12-31
69,70,Resona Holdings,Japan,434.653,2017-12-31
70,71,Banco do Brasil SA,Brazil,413.147,2017-12-31
71,72,KB Financial Group,South Korea,409.01,2017-12-31
72,73,Shinhan Financial Group,South Korea,399.197,2017-12-31
73,74,Nomura Holdings,Japan,394.791,2017-12-31
74,75,DBS Group Holdings,Singapore,387.252,2017-12-31
75,76,Caixa Economica Federal,Brazil,383.261,2017-09-30
76,77,PNC Financial Services Group,USA,380.768,2017-12-31
77,78,Hua Xia Bank,China,375.543,2017-09-30
78,79,Bank of New York Mellon Corp,USA,371.758,2017-12-31
79,80,Shinkin Central Bank (SCB),Japan,371.313,2017-12-31
80,81,Capital One Financial Corporation,USA,365.693,2017-12-31
81,82,Banco Bradesco SA,Brazil,365.493,2017-12-31
82,83,KBC Group NV,Belgium,350.186,2017-12-31
83,84,Bank of Beijing,China,349.354,2017-09-30
84,85,Oversea-Chinese Banking Corp (OCBC),Singapore,340.297,2017-12-31
85,86,Hana Financial Group,South Korea,337.191,2017-12-31
86,87,Svenska Handelsbanken,Sweden,336.691,2017-12-31
87,88,NongHyup Financial Group,South Korea,333.156,2017-06-30
88,89,Woori Bank,South Korea,332.893,2017-12-31
89,90,DnB ASA,Norway,328.267,2017-12-31
90,91,China Guangfa Bank (CGB),China,314.401,2016-12-31
91,92,Skandinaviska Enskilda Banken,Sweden,311.457,2017-12-31
92,93,Nationwide Building Society,UK,306.963,2017-09-30
93,94,Cathay Financial Holding,Taiwan,293.554,2017-09-30
